,service,flag,src_bytes,dst_bytes,count,serror_rate,srv_serror_rate,same_srv_rate,diff_srv_rate,dst_host_srv_count,dst_host_same_srv_rate,dst_host_diff_srv_rate,dst_host_serror_rate,dst_host_srv_serror_rate,Label
105681,49,5,0,0,262,1,1,0.01,0.07,2,0.01,0.09,1,1,0
20607,47,9,6,0,507,0.06,0,0,1,1,0,1,0.08,0,1
90847,12,9,45,74,226,0,0,1,0.01,254,1,0.01,0,0,4
48282,9,5,0,0,293,1,1,0.02,0.05,9,0.04,0.07,1,1,0
65434,49,5,0,0,52,1,1,0.23,0.06,1,0,0.08,1,1,0
66076,13,5,0,0,216,1,1,0.09,0.06,18,0.07,0.07,1,1,0
60968,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
112101,12,9,112,46,249,0,0,1,0.01,105,0.76,0.01,0,0,4
14995,24,9,254,1628,7,0,0,1,0,238,0.93,0.02,0,0,4
95396,54,9,128,242,1,0,0,1,0,84,0.27,0.66,0,0,4
74898,19,9,1223,3380,1,0,0,1,0,54,0.21,0.02,0,0,4
113392,15,9,520,0,35,0,0,1,0,255,1,0,0,0,0
124197,24,9,212,14354,7,0,0,1,0,255,1,0,0,0,4
68040,49,1,0,0,336,0.03,0,0,1,1,0,1,0.03,0,1
33752,14,9,18,0,1,0,0,1,0,235,1,0,0,0,1
12865,12,9,43,133,22,0,0,1,0,24,0.44,0.04,0,0,4
47616,44,1,0,0,511,0.37,0,0,1,1,0,1,0.32,0,1
81160,39,5,0,0,214,1,1,0.07,0.06,16,0.06,0.07,1,1,0
122789,24,9,229,2638,10,0,0,1,0,255,1,0,0,0,4
94467,24,9,225,2377,9,0,0,1,0,27,1,0,0,0,4
87458,49,5,0,0,217,1,1,0.07,0.07,16,0.06,0.08,1,1,0
56754,24,9,310,2464,13,0,0,1,0,255,1,0,0,0,4
19188,24,9,229,2090,7,0.14,0.11,1,0,255,1,0,0.01,0.01,4
113579,15,9,1032,0,9,0,0,1,0,9,0.04,0.02,0,0,0
29707,24,9,329,2109,14,0,0,1,0,255,1,0,0,0,4
687,4,5,0,0,240,1,1,0.03,0.07,6,0.02,0.07,1,1,0
30710,68,5,0,0,264,1,1,0.04,0.06,10,0.04,0.07,1,1,0
13080,51,5,0,0,273,1,1,0.03,0.06,9,0.04,0.07,1,1,0
40550,24,9,198,5501,1,0,0,1,0,1,1,0,0,0,4
102271,19,9,345,1063,1,0,0,1,0,36,0.18,0.03,0,0,4
37946,60,5,0,0,291,1,1,0.05,0.05,16,0.06,0.08,1,1,0
105494,49,1,0,0,108,0.07,0,0.01,1,1,0,0.68,0.03,0,1
91898,24,9,266,2321,1,0,0,1,0,255,1,0,0,0,4
112000,12,9,43,133,193,0,0,1,0,79,0.67,0.03,0,0,4
8283,24,9,202,960,8,0,0,1,0,255,1,0,0,0,4
44393,24,9,324,3516,18,0,0,1,0,244,1,0,0,0,4
23325,24,9,201,468,2,0,0,1,0,255,1,0,0,0,4
57262,24,9,316,434,30,0,0,1,0,255,1,0,0,0,4
48263,57,5,0,0,125,1,1,0.07,0.06,5,0.02,0.07,1,1,0
108444,24,1,0,0,1,0,0,1,0,255,1,0,0,0,4
41499,2,5,0,0,267,1,1,0.05,0.05,14,0.05,0.05,1,1,0
48425,49,5,0,0,161,1,1,0.06,0.07,10,0.04,0.07,1,1,0
52782,21,5,0,0,296,1,1,0.06,0.06,1,0,0.07,1,1,0
95637,39,5,0,0,288,1,1,0.08,0.05,24,0.09,0.05,1,1,0
92265,10,5,0,0,109,1,1,0.01,0.06,3,0.01,0.07,1,1,0
32797,20,5,0,0,71,1,1,0.24,0.06,57,0.22,0.04,1,1,0
95223,66,5,0,0,130,1,1,0.05,0.06,11,0.04,0.06,1,1,0
84022,24,1,0,0,1,0,0,1,0,89,1,0,0,0,4
68476,24,9,149,3344,2,0,0,1,0,61,1,0,0,0,4
6189,49,5,0,0,79,1,1,0.24,0.05,10,0.04,0.07,1,1,0
44433,15,9,1032,0,511,0,0,1,0,138,0.54,0.02,0.01,0,0
56970,24,9,333,1296,8,0,0,1,0,255,1,0,0,0,4
72547,44,4,1,0,2,0,0,1,0,2,0.01,0.68,0,0,1
12976,24,9,300,4142,3,0.33,0.33,1,0,255,1,0,0.33,0,4
32104,24,9,337,1112,13,0,0,1,0,255,1,0,0,0,4
65056,12,9,46,112,72,0,0,1,0,254,1,0.01,0,0,4
74352,24,9,54540,8314,5,0,0,1,0,255,1,0,0.01,0.01,0
122568,24,9,192,3101,36,0,0,1,0,255,1,0,0,0,4
56306,54,7,715,0,1,1,0.25,1,0,173,0.6,0.03,0.01,0.01,4
94206,49,9,28,0,37,0,0,1,0,37,0.15,0.01,0,0,0
123034,12,9,44,124,167,0,0,0.99,0.01,236,0.93,0.02,0,0,4
27915,12,9,31,31,1,0,0,1,0,234,0.92,0.01,0,0,4
40406,49,9,207,0,2,0,0,1,0,34,0.81,0.05,0,0,1
125506,49,9,215,0,1,0,0,1,0,143,0.86,0.01,0,0,1
42009,24,9,252,1423,11,0,0,1,0,255,1,0,0,0,4
18286,63,5,0,0,223,1,1,0.06,0.06,19,0.07,0.06,1,1,0
114995,20,9,12,0,2,0,0,1,0,125,1,0,0,0,4
4778,24,9,162,2532,2,0,0,1,0,255,1,0,0,0,4
31125,20,9,607,0,2,0,0,1,0,58,0.34,0.41,0,0,4
94191,24,9,218,630,7,0,0,1,0,255,1,0,0,0,4
93864,44,9,35195,0,18,0,0,0.06,0.11,1,0.01,0.04,0,0,4
8367,12,9,44,135,67,0,0,1,0,255,1,0,0,0,4
99884,14,9,8,0,1,0,0,1,0,20,1,0,0,0,1
54996,7,1,0,0,237,0,0,0.03,0.07,6,0.02,0.07,0,0,0
94878,12,9,45,76,159,0,0,0.99,0.01,255,1,0,0,0,4
